,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Austria,0.0797999974286335,0.7404267938571749,-0.3826706174151202,-0.764053994947848,-0.3340516012415435,-0.24355614847370005,-0.823004236406772,-0.0585139682281127,0.16745667159775535,-1.6222209707360684
Belgia,0.24423996323549715,0.6007114380132006,-0.8107235818290816,-1.2579344872772624,-0.058465232427763754,0.534249440104059,-0.47045899082007014,-0.931555101927588,-0.47129309371493044,0.8661729035817806
Bulgaria,-1.3751350153604163,-2.014078404687233,0.24478279690912558,0.7352144337031306,-2.0063774902166305,0.5031647963509307,-0.08545079459046308,-0.851357869977807,0.533647324493269,1.3816788775417583
Croatia,-0.608659801739603,-0.6679739583549394,0.019367612989112753,-1.8743983214223907,-0.578917512119897,0.4897056946709305,-0.12495066535071969,-0.7909899799852695,-0.17234181050180597,-0.7454137071652731
Cipru,-0.24988756113474758,0.6185923652789868,1.5104132781593178,0.6925408149858633,0.08146276526987174,-1.4194838253108515,0.9447410093796442,-0.19450409957153364,1.2689256257882051,0.018447955961036506
Cehia,-0.3695866255324924,-0.24350710764025038,-0.3283967124727509,-0.7228012267978832,-0.5366268204202109,-1.5622750494855255,-0.45770785503017103,0.1881084466871491,-0.5164046479602485,1.561051308395058
Danemarca,0.2557411405714559,1.3178059464456402,-0.3449528935404131,-0.3905296098471404,-0.7777381936588447,-0.17630148761335582,1.834322050061859,-0.5090531536850559,0.4935344727040503,-0.9802819568230405
Estonia,-0.6688410518462622,0.506042449052998,-0.3172740028907809,-0.07116824053379221,1.0503304090056473,-0.7554680224930074,1.1593431892781396,-0.0382301818919167,0.15679884064154986,0.01946055230084583
Finlanda,0.10904248974004349,0.7291716205339321,-0.1567963762160646,-1.4453321008369235,-0.5663152408788745,0.5809025170045998,-0.10125397863996474,-0.652367920746817,-0.37621966054610156,-0.6123270307510035
Franta,2.0980991711823136,-1.0190893832403187,-0.6168378124301843,0.3984186914981404,0.5827472319426478,0.781778682972994,-0.7436282915287521,-0.2150121204096599,0.9407049195810012,1.1849412712013032
Germania,2.5734763429584295,-1.2369474858019238,-1.9846274317484756,0.5932663523621358,-0.32896212163577776,-0.49692880892906516,0.6053815413138528,-0.05147912082377679,1.7265870787627062,-0.6217442530367615
Grecia,0.2997400764645036,-0.42358512273208465,3.193272093258268,-1.0027820209282332,0.1490520824309551,1.3592337439901847,0.1692108244777751,0.4647429676380444,1.4826232148738587,-0.2755745657461101
Ungaria,-0.6659641744858357,-0.7965843970875569,-0.7650495587242537,-1.6237480492621101,-0.4895454315880947,-0.5167758635909373,0.7002529625160246,1.0690413816032132,0.004577503448880931,1.2265293888300957
Irlanda,-0.22153642015823596,0.9951790234336584,0.026829951042428034,1.6618734515303286,-1.6902064208819791,1.1149959829472929,-1.1400268474357584,-0.2846883757729763,-0.3558860919700066,-0.5758700170470115
Italia,1.719485803428283,-1.068959978603899,1.0318699432836813,-0.16700841261312224,-0.3891450427394465,-0.06120127246929209,-1.1764800043385495,0.7976738884493213,-1.1670982419295015,-1.1917010255810285
Letonia,-1.3443753585983995,-0.292933114491584,-0.6941843711065809,0.9605917107961063,1.708816779202521,1.1520623390671973,1.3288849428387577,0.41618839431617694,0.5760273626443125,-0.12160159627072038
Lituania,-1.2980158282786614,-0.4389987009249242,-1.125416019040916,-0.0745349165671458,1.9647644455996915,1.639343199701688,-0.6413697053631487,0.8258566479407515,0.17806765813073433,0.16756395778495306
Luxemburg,0.1567010315647681,2.2888347394586135,-0.3569486896110806,0.6842235719198146,-1.5777799078065233,1.1877451144016478,-0.008869046199454103,2.891336966152557,-0.2183835455008629,0.9189700824012084
Malta,-0.3027110592003465,0.8930581083223492,0.8768313394337043,0.9070971769561932,0.2907521053015898,-2.1326339304317967,-0.6884670462026303,-1.0783798433494483,0.18610019353658952,0.5482502084744794
Olanda,0.367963279603275,0.8352872233929481,-0.6385649130117701,0.6916098167527208,-0.19440529436148027,-0.4616039082731931,0.27936276502095575,-1.173069100570691,-0.5295753517224999,1.5171271696698863
Polonia,0.09130800966615628,-0.7869211804985989,-0.28697241659573475,0.2168605544873565,0.6307083540237083,-1.7794421982785698,0.3628941681320285,2.0836662755573245,-1.8921293478354646,-1.2852942125954216
Portugalia,-0.3460089668865868,-0.13666823110547435,0.8557278657232615,0.4052508766042136,1.024112574676945,-0.9521377180200143,-2.0117677303000394,1.2726195505589435,1.2726420209699494,0.7262177511503926
Romania,-1.1862462792460797,-1.595294477720989,0.044374706893187385,2.1459730104040178,-0.7638482784294475,0.2530836825722718,0.384025423753002,-0.5579689610243296,-1.0780170834176408,-1.4078316203231527
Slovenia,-0.6093434672252825,0.32253901061398776,-0.4615438351663397,-0.5970880339039513,0.9593588441575833,0.0008094122953763868,-1.9840210965375495,-1.2295993078482212,-0.9621218909407236,-0.45167967782539936
Slovacia,-0.5586867715703536,-0.393666295636793,0.14463988773962572,-1.0839108129194173,-0.5373674208805009,-0.3655742683435659,1.2413440358035175,0.20343930486388645,0.5195575292225596,-0.56837209524819
Spania,1.531422260122024,-0.017554073171766927,1.4853181838563014,0.31684869117624115,1.2192733518082755,0.9878530079101691,1.605361685345948,-0.6556971053028426,-2.579397526676841,1.3919636697776974
Suedia,0.277978815297914,1.285113193294834,-0.16246842748846532,0.6655210746809668,1.1683730658675775,0.3384548877235325,-0.15766830917750982,-0.940207612651313,0.8116178763212298,-1.0684623679213163
